sim_id,ok,error,runtime_s,qwinj_rate,qo_rate_high,qo_rate_low,k_mult,phi_mult,p_init,pb_shift,fpr_min_psi,fpr_max_psi,fpr_range_psi
1,True,,27.262807041988708,8942.654015483397,1547.1207173958655,103.14138115972436,1.4899935782017268,0.8814881686827569,4421.303399498988,-43.56515801042457,2007.2005615234375,4615.36083984375,2608.1602783203125
2,True,,21.605759958038107,4323.75042660002,839.5126459865131,55.96750973243421,1.7088245937261353,0.740018883968095,3944.041911950636,80.01708929927725,2599.558349609375,4148.38427734375,1548.825927734375
3,True,,26.775422833045013,4935.106915494672,1720.6076972149876,114.7071798143325,1.0135436499500812,0.9448940009386078,3660.0751623503284,-211.93508718140032,2162.052978515625,3854.130859375,1692.077880859375
4,True,,25.809076124918647,3384.6689308143787,1917.2271338160185,127.81514225440124,1.7909456020941952,0.8480082263356884,4001.7737382719797,-209.44603757920788,1751.8861083984375,4187.1728515625,2435.2867431640625
5,True,,23.36817091703415,6265.186536498307,1427.6196220640377,95.17464147093584,1.8625860459632257,1.1661986556675346,4372.039904012856,278.3820873665875,2571.841064453125,4575.65234375,2003.811279296875
6,True,,21.931667583063245,7252.964538610612,1458.7408136374834,97.24938757583223,0.8649735349601383,1.2349825078255499,4106.019316379027,74.74804352881006,2727.90380859375,4309.75146484375,1581.84765625
7,True,,22.434917250066064,3926.067679211993,957.9817443501292,63.86544962334195,0.9252811498988438,1.1048419284095667,4365.4903652778785,-158.23431445306983,2887.993408203125,4573.490234375,1685.496826171875
8,True,,22.66471179202199,7162.163168983019,991.3147487897415,66.0876499193161,1.1758007289894077,0.9148247471570936,4447.482254377972,-156.54206426528836,2621.1298828125,4652.0146484375,2030.884765625
9,True,,24.74243841704447,8125.753293257581,1665.3411666498687,111.02274444332458,1.1659143295939645,1.2615624996614356,4280.976564220844,-74.44902832394322,2486.364990234375,4481.80078125,1995.435791015625
10,True,,24.30643583391793,8467.121496489544,2014.9843286429684,134.3322885761979,1.967306646146842,1.1469949154678132,4147.000842842999,233.81306437384853,2032.444580078125,4342.4833984375,2310.038818359375
11,True,,22.69095312501304,6101.729618672383,1364.9735823375647,90.99823882250432,0.8282849131919483,1.1896336100516987,4290.854878941564,-182.61033622555334,2638.888427734375,4494.2080078125,1855.319580078125
12,True,,26.094558999990113,7955.0441402951055,1784.9865709571138,118.99910473047426,1.7560505853272332,0.8710903427753902,4225.530032716655,-198.49268657427643,1792.962646484375,4414.37890625,2621.416259765625
13,True,,27.118146416032687,3894.425065896023,2077.273589259541,138.48490595063606,1.4951798858436303,0.7671068814284063,4248.79392738601,-176.5505339943469,1724.79150390625,4427.04638671875,2702.2548828125
14,True,,28.029959291918203,8995.953364569315,1524.6891039534614,101.6459402635641,0.642798630441296,1.136705979381231,4464.996117324884,-77.17152865968578,2696.8642578125,4665.6455078125,1968.78125
15,True,,27.473478333093226,3145.3268827387374,1724.799473173865,114.98663154492432,1.4017565534885017,0.7087023156273734,4171.7882628929665,338.0547108166927,1807.291748046875,4358.810546875,2551.518798828125
16,True,,21.948892000014894,7824.840526973902,1981.846179896768,132.12307865978454,1.1249989970598202,0.8929274093445397,4123.231169500583,260.9726036899061,2108.00830078125,4313.4609375,2205.45263671875
17,True,,22.263794375001453,5141.106550408755,1339.3772650456108,89.29181766970738,1.8126262985811235,1.2853573874970399,4309.288438161268,-165.38952467540688,2649.986572265625,4514.494140625,1864.507568359375
18,True,,24.306547333020717,7799.8284738715,1815.7991576140166,121.05327717426778,0.5398666474959375,0.7296754822876094,3902.3376786840236,40.33445293559288,2397.774658203125,4092.30810546875,1694.533447265625
19,True,,22.18541604198981,3821.2925874009397,1377.9841309722024,91.86560873148015,1.6368654780992908,1.195966890794758,3841.834601835066,-30.24136340002792,2516.524169921875,4045.632080078125,1529.10791015625
20,True,,23.56813904189039,3894.877330465749,1532.8777061538804,102.19184707692536,0.9721244278465715,1.0384570822283337,4014.9785737644565,-253.7445523564236,2314.1416015625,4212.93115234375,1898.78955078125
21,True,,23.28507362504024,3232.968094211559,952.038037385021,63.46920249233473,1.7904228293284112,0.8922383221583847,3541.1380297773803,-261.31071334914066,2486.735595703125,3746.05615234375,1259.320556640625
22,True,,24.681791207985952,6744.690582480206,1524.5934490685568,101.63956327123712,0.9009049192143033,0.8606118849515059,3975.184540288329,-169.94546301740672,2213.506591796875,4168.83837890625,1955.331787109375
23,True,,25.011230208096094,4501.587364514378,1147.2107659823696,76.48071773215797,1.4157276010126827,0.823234178603444,4332.548179594261,350.7666346436886,2324.9609375,4534.0166015625,2209.0556640625
24,True,,25.202303957892582,2896.3682738345087,1231.6284396177823,82.10856264118549,0.7898124836676959,0.7619700874642297,4299.21690949653,112.53181628923323,2354.235595703125,4496.09619140625,2141.860595703125
25,True,,25.182570042088628,4510.709540695379,1363.0040660500692,90.86693773667128,1.147278505531032,1.0798895092868257,4390.15408723349,352.94573375988773,2662.552734375,4593.5869140625,1931.0341796875
26,True,,24.042600041953847,7061.796615017703,1333.6450672831202,88.909671152208,0.8218084588402155,1.0376034463449144,4133.3093137101405,-119.80434635824,2533.697265625,4334.6357421875,1800.9384765625
27,True,,23.698764791013673,4858.060003041792,1085.2030470680224,72.34686980453483,1.5806022694932058,1.2033184173203422,3909.8679492756078,-5.2630534410211,2915.400390625,4117.615234375,1202.21484375
28,True,,24.919104333035648,8745.059385555076,2033.4631825536053,135.56421217024035,0.7814139391475503,1.056563616580948,4317.221136983306,-37.87524448574362,2432.888671875,4509.3037109375,2076.4150390625
29,True,,27.706695790984668,2185.0705584056464,2220.3723469769784,148.02482313179857,0.8522998749625724,1.1119007500933529,4319.376437713515,59.91822558016423,2432.44384765625,4510.95556640625,2078.51171875
