sim_id,reservoir_id,tiempo_dias,Porosidad,Permeabilidad_mD,Espesor_Neto_m,Area,Presion_Burbuja_psi,Bo_rb_stb,Bg_rb_scf,Rs_scf_stb,Caudal_Prod_Petroleo_bbl,Caudal_Prod_Gas_Mpc,Caudal_Iny_Agua_bbl,Prod_Acumulada_Petroleo,Prod_Acumulada_Gas,Prod_Acumulada_Agua,Iny_Acumulada_Agua,Presion_Reservorio_psi
1,volve,1.0,0.21714397326194618,2170.7517005610125,77.75,6796200.0,4204.5008815267365,1.4400319211728367,0.0007123680706738499,778.3947127518935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4923.907271485986
1,volve,3.200000047683716,0.21714397326194618,2170.7517005610125,77.75,6796200.0,4204.5008815267365,1.4401136436798925,0.0007137177078945731,778.3791837778066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4923.972779253393
1,volve,7.099999904632568,0.21714397326194618,2170.7517005610125,77.75,6796200.0,4204.5008815267365,1.440258515388492,0.0007161102464644223,778.3516551435316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4924.0037626568965
1,volve,11.0,0.21714397326194618,2170.7517005610125,77.75,6796200.0,4204.5008815267365,1.4404033871059478,0.0007185027851805344,778.3241265075736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4924.051565622302
1,volve,21.0,0.21714397326194618,2170.7517005610125,77.75,6796200.0,4204.5008815267365,1.440774853039059,0.0007246374996872189,778.2535402632537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4924.162220634814
1,volve,31.0,0.21714397326194618,2170.7517005610125,77.75,6796200.0,4204.5008815267365,1.44114631897217,0.0007307722141939034,778.1829540189339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4924.264023246325
1,volve,41.0,0.21714397326194618,2170.7517005610125,77.75,6796200.0,4204.5008815267365,1.4415177849052812,0.0007369069287005878,778.112367774614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4924.357858696936
1,volve,51.0,0.21714397326194618,2170.7517005610125,77.75,6796200.0,4204.5008815267365,1.4418892508383923,0.0007430416432072724,778.0417815302941,12130.199511619841,10790.478075351743,0.0,121301.99818739507,107904785.16785076,0.3103407067867502,0.0,4858.750501778448
1,volve,57.0,0.21714397326194618,2170.7517005610125,77.75,6796200.0,4204.5008815267365,1.442112130398259,0.0007467224719112831,777.9994297837021,12140.955610139974,10770.91043924994,0.0,194147.72417024325,172530245.59618375,0.551750443893234,0.0,4821.052109495739
1,volve,61.0,0.21714397326194618,2170.7517005610125,77.75,6796200.0,4204.5008815267365,1.4422607167715034,0.0007491763577139569,777.9711952859742,17614.82236715989,15595.516331470526,0.0,264607.0320660628,234912315.33639917,0.8672960782860973,0.0,4784.875887565148
